Binomial	ID	year	popvalue
Pollachius_virens	1529	1960	461852
Pollachius_virens	1529	1961	455887
Pollachius_virens	1529	1962	460008
Pollachius_virens	1529	1963	455431
Pollachius_virens	1529	1964	477825
Uria_aalge	1907	1964	220000
Uria_lomvia	1926	1964	100
Pollachius_virens	1529	1965	515555
Uria_aalge	1921	1965	12300
Pollachius_virens	1529	1966	477825
Alca_torda	1592	1966	1200
Uria_aalge	1907	1966	180000
Pollachius_virens	1529	1967	490902
Alca_torda	1591	1967	120
Pollachius_virens	1529	1968	471654
Pollachius_virens	1529	1969	511959
Alca_torda	1590	1969	750
Pollachius_virens	1529	1970	565802
Pollachius_virens	1529	1971	554599
Pollachius_virens	1529	1972	538208
Pollachius_virens	1529	1973	537132
Mallotus_villosus	2326	1973	33
Pollachius_virens	1529	1974	491885
Uria_aalge	1907	1974	140000
Uria_aalge	1921	1974	9000
Pollachius_virens	1529	1975	398714
Pollachius_virens	1529	1976	282943
Mallotus_villosus	2326	1976	253
Pollachius_virens	1529	1977	211293
Mallotus_villosus	2326	1977	22
Pollachius_virens	1529	1978	190613
Pollachius_virens	1529	1979	172129
Pollachius_virens	1529	1980	152512
Fratercula_arctica	2555	1980	59.3092
Rissa_tridactyla	2670	1980	127.7106
Uria_aalge	2704	1980	180.5875
Pollachius_virens	1529	1981	156373
Mallotus_villosus	2326	1981	316
Fratercula_arctica	2555	1981	72.2841
Rissa_tridactyla	2670	1981	122.213
Uria_aalge	2704	1981	189.0495
Polysticta_stelleri	12257	1981	6131
Pollachius_virens	1529	1982	137036
Mallotus_villosus	2326	1982	106
Fratercula_arctica	2555	1982	73.7867
Rissa_tridactyla	2670	1982	117.4209
Uria_aalge	2704	1982	200.1869
Polysticta_stelleri	12257	1982	4147
Pollachius_virens	1529	1983	162267
Uria_lomvia	1926	1983	450
Mallotus_villosus	2326	1983	100
Fratercula_arctica	2555	1983	73.7792
Rissa_tridactyla	2670	1983	145.732
Uria_aalge	2704	1983	204.8234
Polysticta_stelleri	12257	1983	4574
Pollachius_virens	1529	1984	146679
Mallotus_villosus	2326	1984	109
Uria_aalge	2703	1984	1005.7406
Polysticta_stelleri	12257	1984	10925
Pollachius_virens	1529	1985	112758
Alca_torda	1592	1985	500
