Binomial	ID	year	popvalue
Somateria_mollissima	8192	1963	3361
Reinhardtius_hippoglossoides	1536	1969	90.3
Reinhardtius_hippoglossoides	1536	1970	94.5
Balaenoptera_physalus	1945	1970	7043
Reinhardtius_hippoglossoides	1536	1971	129.6
Reinhardtius_hippoglossoides	1536	1972	170.1
Reinhardtius_hippoglossoides	1536	1973	184.4
Reinhardtius_hippoglossoides	1536	1974	230.2
Reinhardtius_hippoglossoides	1536	1975	232.6
Reinhardtius_hippoglossoides	1536	1976	221.3
Reinhardtius_hippoglossoides	1536	1977	225.6
Reinhardtius_hippoglossoides	1536	1978	221.4
Reinhardtius_hippoglossoides	1536	1979	209.5
Phalaropus_fulicarius	8367	1979	40
Reinhardtius_hippoglossoides	1536	1980	153.6
Sterna_paradisaea	8345	1980	25
Phalaropus_fulicarius	8367	1980	11
Reinhardtius_hippoglossoides	1536	1981	143.8
Hippoglossoides_platessoides	1457	1982	8007
Reinhardtius_hippoglossoides	1536	1982	124.7
Gadus_morhua	11117	1982	100553
Megaptera_novaeangliae	15142	1982	181
Hippoglossoides_platessoides	1457	1983	9446
Reinhardtius_hippoglossoides	1536	1983	133.9
Gadus_morhua	11117	1983	55453
Megaptera_novaeangliae	15142	1983	236
Hippoglossoides_platessoides	1457	1984	6843
Reinhardtius_hippoglossoides	1536	1984	134.6
Gadus_morhua	11117	1984	18540
Hippoglossoides_platessoides	1457	1985	4553
Reinhardtius_hippoglossoides	1536	1985	148.9
Balaenoptera_physalus	1945	1985	7174
Gadus_morhua	11117	1985	58531
Hippoglossoides_platessoides	1457	1986	7006
Reinhardtius_hippoglossoides	1536	1986	142.1
Gadus_morhua	11117	1986	130176
Hippoglossoides_platessoides	1457	1987	4843
Reinhardtius_hippoglossoides	1536	1987	167
Gadus_morhua	11117	1987	778042
Hippoglossoides_platessoides	1457	1988	2512
Reinhardtius_hippoglossoides	1536	1988	185.1
Gadus_morhua	11117	1988	652220
Hippoglossoides_platessoides	1457	1989	2664
Gadus_morhua	11117	1989	422763
Hippoglossoides_platessoides	1457	1990	1434
Phalaropus_fulicarius	8367	1990	2
Gadus_morhua	11117	1990	41358
Hippoglossoides_platessoides	1457	1991	1124
Gadus_morhua	11117	1991	5874
Gadus_morhua	11117	1992	2298
Gadus_morhua	11117	1993	1798
Gadus_morhua	11117	1994	578
Gadus_morhua	11117	1995	339
Pagophila_eburnea	8111	1996	14000
Sterna_paradisaea	8345	1996	4.8
Phalaropus_fulicarius	8367	1996	15
Gadus_morhua	11117	1996	851
Gadus_morhua	11117	1997	301
Gadus_morhua	11117	1998	1799
Gadus_morhua	11117	1999	1014
Somateria_mollissima	8192	2000	624
Gadus_morhua	11117	2000	2133
Gadus_morhua	11117	2001	7990
Sterna_paradisaea	8345	2002	15.6
Phalaropus_fulicarius	8367	2002	9
Gadus_morhua	11117	2002	4724
Sterna_paradisaea	8345	2003	20.2
Phalaropus_fulicarius	8367	2003	9
Gadus_morhua	11117	2003	6539
Gadus_morhua	11117	2004	32572
Gadus_morhua	11117	2005	67543
Gadus_morhua	11117	2006	248920
Gadus_morhua	11117	2007	173095
Pagophila_eburnea	8111	2008	9750
Gadus_morhua	11117	2008	46714
Gadus_morhua	11117	2009	10605
Gadus_morhua	11117	2010	32246
