Binomial	ID	year	popvalue
Coregonus_autumnalis	9483	1967	28
Coregonus_autumnalis	9483	1968	30
Coregonus_autumnalis	9483	1969	28
Coregonus_autumnalis	9483	1970	42
Coregonus_autumnalis	9483	1971	31
Coregonus_autumnalis	9483	1972	48
Coregonus_autumnalis	9483	1973	70
Coregonus_autumnalis	9483	1974	47
Cepphus_grylle	8167	1975	18
Coregonus_autumnalis	9483	1975	41
Cepphus_grylle	8167	1976	21
Coregonus_autumnalis	9483	1976	32
Ursus_maritimus	2233	1977	5625
Cepphus_grylle	8167	1977	29
Coregonus_autumnalis	9483	1977	55
Balaena_mysticetus	2186	1978	4765
Cepphus_grylle	8167	1978	35
Coregonus_autumnalis	9483	1978	17
Cepphus_grylle	8167	1979	49
Coregonus_autumnalis	9483	1979	16
Balaena_mysticetus	2186	1980	3885
Delphinapterus_leucas	2193	1980	1352
Cepphus_grylle	8167	1980	75
Coregonus_autumnalis	9483	1980	12
Balaena_mysticetus	2186	1981	4467
Cepphus_grylle	8167	1981	110
Coregonus_autumnalis	9483	1981	76
Balaena_mysticetus	2186	1982	7395
Pusa_hispida	4545	1982	42
Cepphus_grylle	8167	1982	175
Balaena_mysticetus	2186	1983	6573
Cepphus_grylle	8167	1983	185
Pusa_hispida	4545	1984	15
Cepphus_grylle	8167	1984	200
Balaena_mysticetus	2186	1985	5762
Pusa_hispida	4545	1985	8
Cepphus_grylle	8167	1985	205
Boreogadus_saida	9574	1985	1.875
Liopsetta_glacialis	9576	1985	0.103
Eleginus_gracilis	9577	1985	0.1325
Osmerus_mordax	9580	1985	0.05
Balaena_mysticetus	2186	1986	8917
Pusa_hispida	4545	1986	20
Cepphus_grylle	8167	1986	205
Boreogadus_saida	9574	1986	3.475
Liopsetta_glacialis	9576	1986	0.45
Eleginus_gracilis	9577	1986	0.5775
Osmerus_mordax	9580	1986	0.267
Enhydra_lutris	9803	1986	4236
Enhydra_lutris	9804	1986	2238
Enhydra_lutris	9805	1986	14042
Enhydra_lutris	9806	1986	1.46
Balaena_mysticetus	2186	1987	5298
Cepphus_grylle	8167	1987	209
Rissa_tridactyla	8406	1987	65
Balaena_mysticetus	2186	1988	6928
Ursus_maritimus	2233	1988	4000
Cepphus_grylle	8167	1988	209
Boreogadus_saida	9574	1988	2.575
Liopsetta_glacialis	9576	1988	0.65
Eleginus_gracilis	9577	1988	0.185
Osmerus_mordax	9580	1988	0.233
Cepphus_grylle	8167	1989	209
Boreogadus_saida	9574	1989	1.475
Liopsetta_glacialis	9576	1989	0.825
Eleginus_gracilis	9577	1989	0.086
Osmerus_mordax	9580	1989	0.533
Enhydra_lutris	9806	1989	2.46
Enhydra_lutris	9807	1989	1.73
Delphinapterus_leucas	2193	1990	1200
Cepphus_grylle	8167	1990	200
Boreogadus_saida	9574	1990	1.875
Liopsetta_glacialis	9576	1990	2.9
Eleginus_gracilis	9577	1990	0.2675
Osmerus_mordax	9580	1990	1.533
Cepphus_grylle	8167	1991	185
Boreogadus_saida	9574	1991	1.35
Liopsetta_glacialis	9576	1991	2.375
Eleginus_gracilis	9577	1991	0.23
Osmerus_mordax	9580	1991	2.267
Cepphus_grylle	8167	1992	180
Rissa_tridactyla	8406	1992	52
Boreogadus_saida	9574	1992	1.875
Liopsetta_glacialis	9576	1992	3.075
Eleginus_gracilis	9577	1992	0.13
Osmerus_mordax	9580	1992	2.325
Balaena_mysticetus	2186	1993	8167
Cepphus_grylle	8167	1993	175
Rissa_tridactyla	8406	1993	59
Boreogadus_saida	9574	1993	3.625
Liopsetta_glacialis	9576	1993	3.15
Eleginus_gracilis	9577	1993	0.09
Osmerus_mordax	9580	1993	2.3
Cepphus_grylle	8167	1994	150
Cepphus_grylle	8167	1995	150
Rissa_tridactyla	8406	1995	61
Cepphus_grylle	8167	1996	135
Rissa_tridactyla	8406	1996	55
Cepphus_grylle	8167	1997	120
Rissa_tridactyla	8406	1997	65
Calidris_ptilocnemis	12050	1997	15899
Delphinapterus_leucas	2193	1998	1171
Cepphus_grylle	8167	1998	115
Rissa_tridactyla	8406	1998	91
Calidris_ptilocnemis	12050	1998	14025
Cepphus_grylle	8167	1999	115
Rissa_tridactyla	8406	1999	53
Calidris_ptilocnemis	12050	1999	8405
Cepphus_grylle	8167	2000	120
Rissa_tridactyla	8406	2000	68
Enhydra_lutris	9803	2000	374
Enhydra_lutris	9804	2000	4354
Calidris_ptilocnemis	12050	2000	6279
Balaena_mysticetus	2186	2001	10545
Cepphus_grylle	8167	2001	116
Rissa_tridactyla	8406	2001	44
Enhydra_lutris	9805	2001	1005
Enhydra_lutris	9806	2001	0.54
Enhydra_lutris	9807	2001	1.52
Calidris_ptilocnemis	12050	2001	11595
Cepphus_grylle	8167	2002	145
Rissa_tridactyla	8406	2002	82
Calidris_ptilocnemis	12050	2002	4608
Rissa_tridactyla	8406	2003	85
Calidris_ptilocnemis	12050	2003	11392
Rissa_tridactyla	8406	2004	98
Calidris_ptilocnemis	12050	2004	7544
Rissa_tridactyla	8406	2005	100
Calidris_ptilocnemis	12050	2005	8000
Rissa_tridactyla	8406	2006	89
Calidris_ptilocnemis	12050	2006	3848
Calidris_ptilocnemis	12050	2007	5114
Calidris_ptilocnemis	12050	2008	6430
Calidris_ptilocnemis	12050	2009	5722
Calidris_ptilocnemis	12050	2010	4456
Calidris_ptilocnemis	12050	2011	6177
Calidris_ptilocnemis	12050	2012	11544
