Binomial	ID	year	popvalue
Mallotus_villosus	6090	1955	15
Mallotus_villosus	6090	1956	15
Mallotus_villosus	6090	1957	10
Mallotus_villosus	6090	1958	10
Mallotus_villosus	6090	1959	5
Mallotus_villosus	6090	1960	5
Mallotus_villosus	6090	1961	5
Mallotus_villosus	6090	1962	5
Mallotus_villosus	6090	1963	5
Mallotus_villosus	6090	1964	5
Mallotus_villosus	6090	1965	5
Mallotus_villosus	6090	1966	5
Mallotus_villosus	6090	1967	5
Mallotus_villosus	6090	1968	5
Reinhardtius_hippoglossoides	1536	1969	90.3
Mallotus_villosus	6090	1969	5
Reinhardtius_hippoglossoides	1536	1970	94.5
Mallotus_villosus	6090	1970	5
Reinhardtius_hippoglossoides	1536	1971	129.6
Mallotus_villosus	6090	1971	10
Reinhardtius_hippoglossoides	1536	1972	170.1
Mallotus_villosus	6090	1972	75
Reinhardtius_hippoglossoides	1536	1973	184.4
Mallotus_villosus	6090	1973	175
Reinhardtius_hippoglossoides	1536	1974	230.2
Mallotus_villosus	6090	1974	185
Pagophila_eburnea	13310	1974	339.78
Reinhardtius_hippoglossoides	1536	1975	232.6
Mallotus_villosus	6090	1975	360
Pagophila_eburnea	13310	1975	300.45
Reinhardtius_hippoglossoides	1536	1976	221.3
Mallotus_villosus	6090	1976	355
Pagophila_eburnea	13310	1976	300.13
Reinhardtius_hippoglossoides	1536	1977	225.6
Mallotus_villosus	6090	1977	225
Pagophila_eburnea	13310	1977	351.3
Odobenus_rosmarus	14865	1977	565
Odobenus_rosmarus	14866	1977	290
Reinhardtius_hippoglossoides	1536	1978	221.4
Mallotus_villosus	6090	1978	85
Reinhardtius_hippoglossoides	1536	1979	209.5
Mallotus_villosus	6090	1979	30
Reinhardtius_hippoglossoides	1536	1980	153.6
Mallotus_villosus	6090	1980	25
Reinhardtius_hippoglossoides	1536	1981	143.8
Reinhardtius_hippoglossoides	1536	1982	124.7
Reinhardtius_hippoglossoides	1536	1983	133.9
Pagophila_eburnea	13310	1983	225.34
Reinhardtius_hippoglossoides	1536	1984	134.6
Monodon_monoceros	4320	1984	1355
Pagophila_eburnea	13310	1984	351.34
Reinhardtius_hippoglossoides	1536	1985	148.9
Reinhardtius_hippoglossoides	1536	1986	142.1
Reinhardtius_hippoglossoides	1536	1987	167
Ursus_maritimus	8076	1987	1215
Reinhardtius_hippoglossoides	1536	1988	185.1
Ursus_maritimus	8076	1988	1188
Ursus_maritimus	8076	1989	1294
Ursus_maritimus	8076	1990	1068
Ursus_maritimus	8076	1991	1037
Ursus_maritimus	8076	1992	970
Somateria_mollissima	13097	1992	39.2
Somateria_mollissima	13098	1992	0
Somateria_mollissima	13099	1992	0
Somateria_mollissima	13100	1992	33
Somateria_mollissima	13101	1992	7.8
Somateria_mollissima	13102	1992	5.4
Ursus_maritimus	8076	1993	1233
Somateria_mollissima	13097	1993	6.2
Somateria_mollissima	13098	1993	1.5
Somateria_mollissima	13099	1993	0
Somateria_mollissima	13100	1993	0.9
Somateria_mollissima	13101	1993	0
Somateria_mollissima	13102	1993	0.7
Somateria_mollissima	13103	1993	0
Somateria_mollissima	13104	1993	0.6
Ursus_maritimus	13244	1993	51
Ursus_maritimus	13245	1993	13
Ursus_maritimus	8076	1994	1028
Somateria_mollissima	13097	1994	1.5
Somateria_mollissima	13098	1994	0.7
Somateria_mollissima	13099	1994	0
Somateria_mollissima	13100	1994	10.2
Somateria_mollissima	13101	1994	0
Somateria_mollissima	13102	1994	3.6
Ursus_maritimus	13244	1994	91
Ursus_maritimus	8076	1995	1237
Ursus_maritimus	13244	1995	134
Ursus_maritimus	13245	1995	36
Pusa_hispida	17829	1995	1.219
Ursus_maritimus	8076	1996	1039
Ursus_maritimus	13244	1996	155
Ursus_maritimus	13245	1996	19
Pusa_hispida	17829	1996	0.992
Ursus_maritimus	8076	1997	1056
Stercorarius_longicaudus	8219	1997	6
Ursus_maritimus	13244	1997	184
Ursus_maritimus	13245	1997	24
Pusa_hispida	17829	1997	0.677
Ursus_maritimus	8076	1998	971
Stercorarius_longicaudus	8219	1998	3
Clangula_hyemalis	8225	1998	1
Odobenus_rosmarus	14865	1998	200
Odobenus_rosmarus	14866	1998	179
Ursus_maritimus	8076	1999	1143
Stercorarius_longicaudus	8219	1999	0
Odobenus_rosmarus	14865	1999	441
Odobenus_rosmarus	14866	1999	110
Pusa_hispida	17829	1999	0.445
Monodon_monoceros	4320	2000	1780
Ursus_maritimus	8076	2000	876
Stercorarius_longicaudus	8219	2000	9
Clangula_hyemalis	8225	2000	5
Odobenus_rosmarus	14865	2000	149
Odobenus_rosmarus	14866	2000	204
Pusa_hispida	17829	2000	0.606
Ursus_maritimus	8076	2001	1144
Stercorarius_longicaudus	8219	2001	9
Clangula_hyemalis	8225	2001	1
Odobenus_rosmarus	14865	2001	44
Odobenus_rosmarus	14866	2001	185
Ursus_maritimus	8076	2002	968
Stercorarius_longicaudus	8219	2002	0
Pagophila_eburnea	12225	2002	83
Ursus_maritimus	8076	2003	967
Stercorarius_longicaudus	8219	2003	0
Pagophila_eburnea	12225	2003	11
Pagophila_eburnea	13310	2003	200.49
Odobenus_rosmarus	14865	2003	137
Odobenus_rosmarus	14866	2003	114
Ursus_maritimus	8076	2004	872
Stercorarius_longicaudus	8219	2004	23
Clangula_hyemalis	8225	2004	2
Somateria_mollissima	13097	2004	0.8
Somateria_mollissima	13098	2004	0
Somateria_mollissima	13099	2004	0
Somateria_mollissima	13100	2004	0.9
Somateria_mollissima	13101	2004	0
Somateria_mollissima	13102	2004	3.3
Somateria_mollissima	13103	2004	1.5
Somateria_mollissima	13104	2004	6.4
Pagophila_eburnea	13310	2004	119.91
Odobenus_rosmarus	14865	2004	74
Odobenus_rosmarus	14866	2004	171
Stercorarius_longicaudus	8219	2005	18
Clangula_hyemalis	8225	2005	4
Somateria_mollissima	13097	2005	3.9
Somateria_mollissima	13098	2005	0
Somateria_mollissima	13099	2005	0
Somateria_mollissima	13100	2005	0
Somateria_mollissima	13101	2005	0
Somateria_mollissima	13102	2005	1.3
Somateria_mollissima	13103	2005	0.8
Somateria_mollissima	13104	2005	1.9
Pagophila_eburnea	13310	2005	109.68
Odobenus_rosmarus	14864	2005	766
Odobenus_rosmarus	14865	2005	17
Odobenus_rosmarus	14866	2005	19
Stercorarius_longicaudus	8219	2006	7
Clangula_hyemalis	8225	2006	4
Pagophila_eburnea	13310	2006	143.59
Odobenus_rosmarus	14864	2006	1198
Odobenus_rosmarus	14865	2006	308
Odobenus_rosmarus	14866	2006	94
Stercorarius_longicaudus	8219	2007	30
Clangula_hyemalis	8225	2007	3
Balaena_mysticetus	12449	2007	1.81
Odobenus_rosmarus	14864	2007	1639
Odobenus_rosmarus	14865	2007	515
Odobenus_rosmarus	14866	2007	101
Pusa_hispida	17829	2007	0.917
Balaena_mysticetus	12449	2008	2.62
Odobenus_rosmarus	14864	2008	955
Odobenus_rosmarus	14865	2008	308
Odobenus_rosmarus	14866	2008	404
Pusa_hispida	17829	2008	0.439
Balaena_mysticetus	12449	2009	0.66
Odobenus_rosmarus	14865	2009	557
Odobenus_rosmarus	14866	2009	388
Pusa_hispida	17829	2010	0.727
