Binomial	ID	year	popvalue
Fratercula_arctica	1656	1950	3000
Larus_canus	1706	1950	1800
Uria_aalge	1910	1954	2000
Uria_lomvia	1928	1954	950
Mallotus_villosus	6090	1955	15
Uria_aalge	1910	1956	1200
Uria_lomvia	1928	1956	250
Mallotus_villosus	6090	1956	15
Fratercula_arctica	1656	1957	3000
Mallotus_villosus	6090	1957	10
Fratercula_arctica	1656	1958	8300
Uria_aalge	1910	1958	2400
Uria_lomvia	1928	1958	400
Mallotus_villosus	6090	1958	10
Rissa_tridactyla	8011	1958	5000
Fratercula_arctica	1656	1959	8000
Sterna_paradisaea	1879	1959	100
Uria_aalge	1910	1959	1800
Uria_lomvia	1928	1959	750
Mallotus_villosus	6090	1959	5
Rissa_tridactyla	8011	1959	3000
Pollachius_virens	1529	1960	461852
Fratercula_arctica	1656	1960	8000
Larus_smithsonianus	1695	1960	1500
Larus_canus	1709	1960	480
Stercorarius_parasiticus	1847	1960	4
Sterna_paradisaea	1877	1960	9000
Sterna_paradisaea	1879	1960	500
Uria_aalge	1910	1960	1700
Uria_lomvia	1928	1960	800
Mallotus_villosus	6090	1960	5
Rissa_tridactyla	8011	1960	4000
Fratercula_arctica	8129	1960	100
Fratercula_arctica	8130	1960	271.4
Pollachius_virens	1529	1961	455887
Fratercula_arctica	1656	1961	8000
Pagophila_eburnea	1758	1961	200
Uria_aalge	1910	1961	2700
Uria_lomvia	1928	1961	1500
Mallotus_villosus	6090	1961	5
Rissa_tridactyla	8011	1961	8000
Fratercula_arctica	8130	1961	315.1
Pollachius_virens	1529	1962	460008
Fratercula_arctica	1656	1962	7000
Larus_canus	1706	1962	2000
Uria_aalge	1910	1962	2700
Uria_lomvia	1928	1962	1000
Mallotus_villosus	6090	1962	5
Rissa_tridactyla	8011	1962	2000
Pollachius_virens	1529	1963	455431
Fratercula_arctica	1656	1963	6000
Larus_canus	1706	1963	5000
Uria_aalge	1910	1963	3200
Uria_lomvia	1928	1963	800
Mallotus_villosus	6090	1963	5
Rissa_tridactyla	8011	1963	4000
Somateria_mollissima	8192	1963	3361
Pollachius_virens	1529	1964	477825
Fratercula_arctica	1656	1964	3600
Larus_canus	1706	1964	4800
Uria_aalge	1907	1964	220000
Uria_aalge	1910	1964	1400
Uria_lomvia	1926	1964	100
Uria_lomvia	1928	1964	700
Mallotus_villosus	6090	1964	5
Rissa_tridactyla	8011	1964	4000
Pollachius_virens	1529	1965	515555
Fratercula_arctica	1656	1965	1700
Larus_canus	1706	1965	4300
Phalaropus_fulicarius	1792	1965	50
Uria_aalge	1921	1965	12300
Mallotus_villosus	6090	1965	5
Rissa_tridactyla	8011	1965	6000
Pollachius_virens	1529	1966	477825
Alca_torda	1592	1966	1200
Fratercula_arctica	1656	1966	1600
Larus_canus	1706	1966	5500
Uria_aalge	1907	1966	180000
Uria_aalge	1910	1966	2100
Uria_lomvia	1928	1966	950
Mallotus_villosus	6090	1966	5
Rissa_tridactyla	8011	1966	10500
Pollachius_virens	1529	1967	490902
Alca_torda	1591	1967	120
Fratercula_arctica	1656	1967	1600
Larus_canus	1706	1967	5800
Larus_hyperboreus	1716	1967	220
Rissa_tridactyla	1813	1967	2200
Rissa_tridactyla	1832	1967	54000
Uria_aalge	1910	1967	2100
Uria_lomvia	1928	1967	900
Mallotus_villosus	6090	1967	5
Rissa_tridactyla	8011	1967	11500
Coregonus_autumnalis	9483	1967	28
Pollachius_virens	1529	1968	471654
Fratercula_arctica	1656	1968	2500
Larus_canus	1706	1968	6500
Uria_aalge	1910	1968	2200
Uria_lomvia	1928	1968	1100
Mallotus_villosus	6090	1968	5
Rissa_tridactyla	8011	1968	8500
Fratercula_arctica	8130	1968	239.5
Coregonus_autumnalis	9483	1968	30
Clangula_hyemalis	13370	1968	21
Pollachius_virens	1529	1969	511959
Reinhardtius_hippoglossoides	1536	1969	90.3
Alca_torda	1590	1969	750
Fratercula_arctica	1656	1969	2500
Larus_smithsonianus	1695	1969	4500
Larus_canus	1706	1969	8000
Larus_canus	1709	1969	210
Sterna_paradisaea	1879	1969	3200
Uria_aalge	1910	1969	2400
Uria_lomvia	1928	1969	1000
Mallotus_villosus	6090	1969	5
Rissa_tridactyla	8011	1969	12000
Coregonus_autumnalis	9483	1969	28
Clangula_hyemalis	13370	1969	21
Pollachius_virens	1529	1970	565802
Reinhardtius_hippoglossoides	1536	1970	94.5
Fratercula_arctica	1656	1970	2500
Larus_canus	1706	1970	8000
Larus_canus	1709	1970	430
Rissa_tridactyla	1814	1970	1e+05
Sterna_paradisaea	1879	1970	1400
Uria_aalge	1905	1970	310000
Uria_aalge	1910	1970	3000
Uria_lomvia	1928	1970	1150
Balaenoptera_physalus	1945	1970	7043
Mallotus_villosus	6090	1970	5
Rissa_tridactyla	8011	1970	18000
Fratercula_arctica	8129	1970	128.8
Coregonus_autumnalis	9483	1970	42
Clangula_hyemalis	13370	1970	24
Pollachius_virens	1529	1971	554599
Reinhardtius_hippoglossoides	1536	1971	129.6
Fratercula_arctica	1656	1971	3000
Larus_canus	1706	1971	8000
Sterna_paradisaea	1879	1971	500
Uria_aalge	1910	1971	2800
Uria_lomvia	1928	1971	1200
Mallotus_villosus	6090	1971	10
Rissa_tridactyla	8011	1971	16000
Coregonus_autumnalis	9483	1971	31
Clangula_hyemalis	13370	1971	29
Pollachius_virens	1529	1972	538208
Reinhardtius_hippoglossoides	1536	1972	170.1
Fratercula_arctica	1656	1972	3000
Larus_canus	1706	1972	8000
Sterna_paradisaea	1879	1972	600
Uria_aalge	1910	1972	4100
Uria_lomvia	1928	1972	1900
Mallotus_villosus	6090	1972	75
Rissa_tridactyla	8011	1972	17000
Ursus_maritimus	8084	1972	354.81
Coregonus_autumnalis	9483	1972	48
Pollachius_virens	1529	1973	537132
Reinhardtius_hippoglossoides	1536	1973	184.4
Fratercula_arctica	1656	1973	3000
Larus_canus	1706	1973	8000
Sterna_paradisaea	1879	1973	150
Uria_aalge	1910	1973	4700
Uria_lomvia	1928	1973	2000
Mallotus_villosus	2326	1973	33
Mallotus_villosus	6090	1973	175
Rissa_tridactyla	8011	1973	18000
Ursus_maritimus	8084	1973	714.96
Coregonus_autumnalis	9483	1973	70
Pollachius_virens	1529	1974	491885
Reinhardtius_hippoglossoides	1536	1974	230.2
Fratercula_arctica	1656	1974	2500
Larus_canus	1706	1974	9500
Sterna_paradisaea	1879	1974	250
Uria_aalge	1907	1974	140000
Uria_aalge	1910	1974	5200
Uria_aalge	1921	1974	9000
Uria_lomvia	1927	1974	30900
Uria_lomvia	1928	1974	1900
Mallotus_villosus	6090	1974	185
Rissa_tridactyla	8011	1974	21000
Ursus_maritimus	8084	1974	691.45
Calidris_pygmaea	8168	1974	95
Coregonus_autumnalis	9483	1974	47
Pagophila_eburnea	13310	1974	339.78
Pollachius_virens	1529	1975	398714
Reinhardtius_hippoglossoides	1536	1975	232.6
Fratercula_arctica	1656	1975	2500
Larus_canus	1706	1975	7500
Larus_canus	1709	1975	200
Sterna_paradisaea	1879	1975	150
Uria_aalge	1910	1975	5500
Uria_lomvia	1928	1975	1900
Mallotus_villosus	6090	1975	360
Rissa_tridactyla	8011	1975	23000
Ursus_maritimus	8084	1975	1220.17
Cepphus_grylle	8167	1975	18
Coregonus_autumnalis	9483	1975	41
Pagophila_eburnea	13310	1975	300.45
Pollachius_virens	1529	1976	282943
Reinhardtius_hippoglossoides	1536	1976	221.3
Fratercula_arctica	1656	1976	3000
Larus_canus	1706	1976	8500
Larus_canus	1709	1976	220
Sterna_paradisaea	1879	1976	400
Uria_aalge	1910	1976	6100
Uria_lomvia	1928	1976	2100
Mallotus_villosus	2326	1976	253
Mallotus_villosus	6090	1976	355
Rissa_tridactyla	8011	1976	24000
Ursus_maritimus	8084	1976	1220.08
Cepphus_grylle	8167	1976	21
Coregonus_autumnalis	9483	1976	32
Pagophila_eburnea	13310	1976	300.13
Pollachius_virens	1529	1977	211293
Reinhardtius_hippoglossoides	1536	1977	225.6
Fratercula_arctica	1656	1977	2500
Larus_canus	1706	1977	8500
Sterna_paradisaea	1879	1977	250
Ursus_maritimus	2233	1977	5625
Mallotus_villosus	2326	1977	22
Mallotus_villosus	6090	1977	225
Rissa_tridactyla	8011	1977	12000
Ursus_maritimus	8084	1977	1001.07
Cepphus_grylle	8167	1977	29
Coregonus_autumnalis	9483	1977	55
Pagophila_eburnea	13310	1977	351.3
Odobenus_rosmarus	14865	1977	565
Odobenus_rosmarus	14866	1977	290
Mallotus_villosus	1471	1978	6e+05
Pollachius_virens	1529	1978	190613
Reinhardtius_hippoglossoides	1536	1978	221.4
Fratercula_arctica	1656	1978	2500
Larus_canus	1706	1978	8500
Larus_canus	1709	1978	100
Sterna_paradisaea	1879	1978	200
Uria_aalge	1910	1978	6400
Uria_lomvia	1928	1978	2050
Balaena_mysticetus	2186	1978	4765
Mallotus_villosus	6090	1978	85
Rissa_tridactyla	8011	1978	13500
Ursus_maritimus	8084	1978	901.17
Cepphus_grylle	8167	1978	35
Coregonus_autumnalis	9483	1978	17
Mallotus_villosus	1471	1979	6e+05
Pollachius_virens	1529	1979	172129
Reinhardtius_hippoglossoides	1536	1979	209.5
Fratercula_arctica	1656	1979	2300
Larus_canus	1706	1979	7500
Larus_canus	1709	1979	80
Stercorarius_parasiticus	1847	1979	7
Sterna_paradisaea	1879	1979	450
Uria_aalge	1910	1979	4800
Uria_lomvia	1928	1979	1400
Mallotus_villosus	6090	1979	30
Rissa_tridactyla	8011	1979	17000
Ursus_maritimus	8084	1979	1391.03
Cepphus_grylle	8167	1979	49
Phalaropus_fulicarius	8367	1979	40
Coregonus_autumnalis	9483	1979	16
Mallotus_villosus	1471	1980	3e+05
Pollachius_virens	1529	1980	152512
Reinhardtius_hippoglossoides	1536	1980	153.6
Fratercula_arctica	1656	1980	3200
Larus_canus	1706	1980	6500
Larus_canus	1709	1980	50
Phalaropus_fulicarius	1793	1980	22
Sterna_paradisaea	1879	1980	300
Uria_aalge	1910	1980	6000
Uria_lomvia	1928	1980	900
Balaena_mysticetus	2186	1980	3885
Delphinapterus_leucas	2193	1980	1352
Fratercula_arctica	2555	1980	59.3092
Rissa_tridactyla	2670	1980	127.7106
Uria_aalge	2704	1980	180.5875
Mallotus_villosus	6090	1980	25
Rissa_tridactyla	8011	1980	18000
Cepphus_grylle	8167	1980	75
Sterna_paradisaea	8345	1980	25
Phalaropus_fulicarius	8367	1980	11
Coregonus_autumnalis	9483	1980	12
Mallotus_villosus	1471	1981	170000
Pollachius_virens	1529	1981	156373
Reinhardtius_hippoglossoides	1536	1981	143.8
Fratercula_arctica	1656	1981	3000
Larus_smithsonianus	1695	1981	3800
Larus_canus	1706	1981	6300
Larus_canus	1709	1981	80
Rissa_tridactyla	1826	1981	5000
Sterna_paradisaea	1879	1981	2000
Uria_aalge	1910	1981	6050
Uria_lomvia	1928	1981	1100
Balaena_mysticetus	2186	1981	4467
Mallotus_villosus	2326	1981	316
Fratercula_arctica	2555	1981	72.2841
Rissa_tridactyla	2670	1981	122.213
Uria_aalge	2704	1981	189.0495
Rissa_tridactyla	8011	1981	20000
Cepphus_grylle	8167	1981	110
Coregonus_autumnalis	9483	1981	76
Somateria_mollissima	12011	1981	2993
Polysticta_stelleri	12257	1981	6131
Hippoglossoides_platessoides	1457	1982	8007
Mallotus_villosus	1471	1982	140000
Pollachius_virens	1529	1982	137036
Reinhardtius_hippoglossoides	1536	1982	124.7
Fratercula_arctica	1656	1982	3000
Larus_smithsonianus	1695	1982	2000
Larus_canus	1706	1982	6000
Larus_canus	1709	1982	80
Sterna_paradisaea	1879	1982	1000
Uria_aalge	1910	1982	6800
Uria_lomvia	1928	1982	1500
Balaena_mysticetus	2186	1982	7395
Mallotus_villosus	2326	1982	106
Fratercula_arctica	2555	1982	73.7867
Rissa_tridactyla	2670	1982	117.4209
Uria_aalge	2704	1982	200.1869
Pusa_hispida	4545	1982	42
Ursus_maritimus	4633	1982	4.1
Rissa_tridactyla	8011	1982	21000
Cepphus_grylle	8167	1982	175
Gadus_morhua	11117	1982	100553
